Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
"Dijual Rumah Brand New Bangunan Kontraktor Type Hoek Di Golf Island Luas 255m2 3,5 Lantai Marmer Siap Huni ",Rp 15 Miliar,4,4,255 m²,550 m²,1,Lainnya,4400 Watt,2,2,1,3,Baru
"Dijual Cepat, Rumah Brand New Golf Island The Chopin Signature, Full Furnished, Mewah, Sudah Renovasi Ada Pool, Siap Huni!!","Rp 11,5 Miliar",4,5,200 m²,450 m²,1,HGB,Lainnya,1,1,1,3,Bagus
Rumah di Pik Katamaran Indah Swimming Pool Brandnew,"Rp 16,8 Miliar",6,6,358 m²,800 m²,1,Lainnya,Lainnya,1,1,1,3,Bagus
Dijual Cepat Rumah Cempaka Puith. Jakarta Pusat,Rp 8 Miliar,3,2,365 m²,355 m²,1,SHM,7700 Watt,1,1,1,2,Bagus
Dijual Rumah Komplek Pejaten Jakarta Selatan,"Rp 4,5 Miliar",6,6,160 m²,290 m²,1,SHM,Lainnya,1,1,1,2,Renovasi Total
"Jual rumah lama dlm komplek one gate. Dkt penvil, mampang, psr minggu. Ingin lekas terjual. Nego Max",Rp 6 Miliar,3,2,200 m²,140 m²,1,SHM,2200 Watt,1,1,1,4,Bagus
Rumah murah siap huni rapi jarang ada di Citra Garden 1,"Rp 1,75 Miliar",3,2,120 m²,150 m²,1,SHM,3500 Watt,1,1,1,2,Renovasi Minimum
Dijual Rumah Murah Cilandak Jakarta Selatan,"Rp 6,3 Miliar",5,5,205 m²,400 m²,1,SHM,Lainnya,1,1,2,2,Bagus
Rumah Murah Brand New 3 Lantai Di Tanjung Duren,"Rp 2,35 Miliar",4,4,56 m²,165 m²,1,SHM,Lainnya,2,1,1,2,Renovasi Minimum
Dijual Rumah Mewah Komplek Joglo Jakarta Barat,"Rp 2,4 Miliar",4,3,135 m²,200 m²,1,SHM,3300 Watt,2,1,4,1,Bagus
Dijual Murah Turun Harga!! Rumah Pantai Indah Kapuk Uk 5x23m Siap Huni Shm Hadap Timur Jarang Ada! Nego Sampai Jadi ,Rp 3 Miliar,4,4,115 m²,230 m²,1,SHM,3500 Watt,2,1,4,2,Bagus
"Dijual Rumah Golf Lake Cengkareng Luas 160m, Renovasi Rapih , Shm Siap Huni, Jalan 3 Mobil ","Rp 5,2 Miliar",4,3,160 m²,240 m²,1,SHM,3500 Watt,1,1,6,2,Bagus
"DIJUAL CEPAT, Rumah Golf Lake Cengkareng, uk 6x15m, Sudah Shm, Harga Termurah!!","Rp 2,45 Miliar",3,4,90 m²,120 m²,4,SHM,Lainnya,3,1,2,2,Bagus
Dijual Rumah Muara Karang Blok 7 Blok Favorit Uk 6x20m Jalan Lebar Shm Jarang Ada!,"Rp 3,8 Miliar",5,3,120 m²,180 m²,4,SHM,3300 Watt,2,1,6,2,Bagus
Dijual Rumah Murah Kav Dki Meruya Jakarta Barat,Rp 4 Miliar,5,4,250 m²,320 m²,6,SHM,3300 Watt,2,1,2,2,Bagus
Rumah Cantik Gading Orchard Termurah,"Rp 5,99 Miliar",6,4,276 m²,288 m²,2,HGB,11000 Watt,1,1,3,2,Bagus
Jual Cepat Rumah 2lt Kebon Baru Tebet,"Rp 4,29 Miliar",4,5,360 m²,372 m²,6,SHM,4400 Watt,2,1,2,2,Bagus
Jual Cepat Rumah Luas Mampang Termurah,"Rp 8,9 Miliar",6,3,700 m²,720 m²,2,HGB,6600 Watt,2,1,6,2,Bagus
Rumah Luas Termurah Adam Malik Larangan,"Rp 1,99 Miliar",5,5,360 m²,261 m²,3,SHM,Lainnya,2,1,4,2,Bagus
Rumah Cantik Pondok Indah Harga Njop,"Rp 39,9 Miliar",5,5,1152 m²,918 m²,2,SHM,10600 Watt,1,1,6,2,Bagus
"Rumah Cantik Pantai Indah Kapuk, Siap Huni","Rp 9,39 Miliar",4,4,340 m²,392 m²,6,HGB,6600 Watt,2,1,2,2,Bagus
Rumah Cantik 2lantai Eramas 2000,"Rp 3,59 Miliar",5,3,300 m²,330 m²,4,SHM,4400 Watt,2,1,2,2,Bagus
Rumah 2lt Jatinegara Baru Termurah,"Rp 1,59 Miliar",5,5,120 m²,126 m²,6,HGB,2200 Watt,1,1,6,2,Bagus
Aset Pinggir Jalan Dkt Cipete Kemang,"Rp 11,9 Miliar",6,4,981 m²,450 m²,2,SHM,10600 Watt,1,1,1,2,Bagus
"Rumah Cantik Kebon Jeruk Intercon
","Rp 6,99 Miliar",5,5,300 m²,360 m²,2,SHM,Lainnya,1,1,3,2,Bagus
Rumah Cantik Kemang Timur Termurah,"Rp 8,99 Miliar",3,4,588 m²,600 m²,6,SHM,Lainnya,1,2,4,2,Bagus
Rumah Cantik Duri Kepa Dibawah Pasar,"Rp 3,59 Miliar",6,2,240 m²,360 m²,1,SHM,4400 Watt,1,1,2,2,Bagus
Rumah Cantik 2lt Metland Puri,"Rp 1,29 Miliar",4,5,66 m²,67 m²,3,SHM,2200 Watt,1,1,5,2,Bagus
Rumah Mewah Puri Cinere Dibawah Njop,"Rp 12,6 Miliar",5,3,1278 m²,720 m²,4,SHM,10600 Watt,1,1,2,1,Bagus
Rumah Cantik Siap Huni Bumi Jatiwaringin,"Rp 1,79 Miliar",4,4,138 m²,177 m²,2,SHM,2200 Watt,1,1,2,2,Bagus
Jual Cepat Rumah Cantik Pluit 2lt Hook,"Rp 5,99 Miliar",4,3,300 m²,324 m²,5,SHM,4400 Watt,2,1,2,2,Bagus
Jual Cepat Rumah Gandaria Fatmawati,"Rp 5,79 Miliar",5,3,438 m²,360 m²,2,SHM,4400 Watt,1,1,1,2,Bagus
